Device ID,LBR-0013797,,                                     ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Series No,36,,                                            ,,,,,,,,,,,,,
Total number of shots,11,,                                ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Units velocity,fps,,                                        ,,,,,,,,,,,,,
Units distances,m,,                                         ,,,,,,,,,,,,,
Units kinetic energy,ft-lbf,,                               ,,,,,,,,,,,,,
Units weight,grain (gr),,                                   ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Stats - Average,1153.09,fps,1218.636364,,,,,,,,,,,,,
Stats - Highest,1253.18,fps,1253,,,,,,,,,,,,,
Stats - Lowest,693.39,fps,1177,,,,,,,,,,,,,
Stats - Ext. Spread,559.79,fps,76,,,,,,,,,,,,,
Stats - Std. Dev,166.51,fps,24.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shot ID,V0,V10,V20,V30,V41,V50,Ke0,Ke10,Ke20,Ke30,Ke41,Ke50,PF10,Proj. Weight,Date,Time
1,892,874,873,873,873,873,247,237,236,236,236,236,122.36,140,03-13-2021,09:09:43
2,1218,1171,1126,1083,1052,1033,460,426,394,364,343,331,163.94,140,03-13-2021,09:10:44
3,1227,1174,1130,1084,1036,0,468,428,396,365,333,0,164.36,140,03-13-2021,09:11:21
4,1253,1207,1164,1123,1060,0,488,452,420,392,349,0,168.98,140,03-13-2021,09:12:24
5,1243,1192,1143,1099,1088,1088,479,441,406,375,368,368,166.88,140,03-13-2021,09:12:40
6,1233,1184,1135,1092,1061,1061,472,435,400,370,349,349,165.76,140,03-13-2021,09:13:11
7,1179,1138,1100,1072,1072,0,431,402,375,357,357,0,159.32,140,03-13-2021,09:13:14
8,1204,1157,1114,1073,1073,0,450,416,385,358,358,0,161.98,140,03-13-2021,09:13:44
9,1237,1191,1145,1102,0,0,475,440,407,377,0,0,166.74,140,03-13-2021,09:14:13
10,1177,1132,1089,1055,1043,1029,430,398,368,345,338,328,158.48,140,03-13-2021,09:14:17
11,1218,1173,1131,1092,0,0,461,427,397,370,0,0,164.22,140,03-13-2021,09:15:09
12,1216,1170,1126,1083,1070,0,459,425,393,364,356,0,163.8,140,03-13-2021,09:15:14
13,693,691,691,691,680,672,149,148,148,148,143,140,96.74,140,03-13-2021,09:17:14
