sep=;
Device ID;LBR-0013797;;
Series No;0036
Shot No;0004

Time (s);Vel (fps);Dist (m);SNR
0.000000;1253.18;0.00;-
0.015021;1227.23;5.68;25.28
0.017021;1223.86;6.42;19.59
0.019021;1220.18;7.17;20.45
0.021021;1216.71;7.91;19.96
0.023021;1214.39;8.65;21.12
0.025021;1207.26;9.39;19.65
0.027021;1212.40;10.13;13.03
0.029021;1203.99;10.86;20.99
0.031021;1196.88;11.60;24.74
0.033021;1194.57;12.32;20.04
0.035021;1192.99;13.05;18.96
0.037021;1187.04;13.78;15.42
0.039021;1185.12;14.50;17.58
0.041021;1182.68;15.22;16.89
0.043021;1187.89;15.94;11.24
0.045021;1180.48;16.67;15.28
0.047021;1172.94;17.38;20.22
0.049021;1170.18;18.10;21.28
0.051021;1167.48;18.81;20.47
0.053021;1162.53;19.52;18.60
0.055021;1164.06;20.23;17.68
0.059021;1156.87;21.64;15.85
0.061021;1152.97;22.35;15.09
0.063021;1155.32;23.05;13.82
0.065021;1147.48;23.75;15.06
0.067021;1145.79;24.45;8.27
0.071021;1136.29;25.84;10.93
0.073021;1137.48;26.54;11.28
0.075021;1127.98;27.23;11.70
0.077021;1137.84;27.92;11.42
0.079021;1130.43;28.61;16.36
0.081021;1124.72;29.30;13.26
0.083021;1123.94;29.98;17.47
0.085021;1121.73;30.67;17.72
0.087021;1119.70;31.35;15.92
0.089021;1113.90;32.03;16.25
0.091021;1118.16;32.71;18.09
0.093021;1107.76;33.39;16.16
0.095021;1105.81;34.06;19.50
0.097021;1103.68;34.74;17.18
0.099021;1104.37;35.41;17.08
0.101021;1093.51;36.08;15.38
0.103021;1102.93;36.75;10.26
0.107021;1087.79;38.09;11.80
0.109021;1081.76;38.75;7.26
0.111021;1069.44;39.40;10.37
0.113021;1065.38;40.05;8.88
0.129021;1065.13;45.25;7.65
0.133021;1075.82;46.55;7.14
0.135021;1060.75;47.21;8.14
0.137021;1056.90;47.85;9.92
0.143021;1043.41;49.77;7.68
0.157021;1046.61;54.23;8.19
0.175021;1054.84;60.00;10.94
