sep=;
Device ID;LBR-0013797;;
Series No;0017
Shot No;0001

Time (s);Vel (fps);Dist (m);SNR
0.000000;2436.70;0.00;-
0.008021;2427.06;5.93;36.54
0.009021;2426.62;6.67;33.57
0.010021;2426.24;7.41;37.13
0.011021;2424.07;8.15;37.19
0.012021;2423.38;8.89;36.76
0.013021;2422.43;9.63;35.68
0.014021;2421.05;10.37;35.81
0.015021;2420.23;11.11;34.33
0.016021;2419.23;11.84;33.48
0.017021;2418.35;12.58;32.31
0.018021;2416.51;13.32;30.78
0.019021;2415.85;14.05;29.50
0.020021;2414.83;14.79;28.37
0.021021;2414.31;15.53;27.97
0.022021;2412.35;16.26;27.34
0.023021;2411.17;17.00;27.34
0.024021;2411.19;17.73;26.83
0.025021;2408.94;18.47;26.42
0.026021;2408.73;19.20;24.07
0.027021;2406.37;19.93;24.41
0.028021;2404.24;20.67;22.60
0.029021;2405.69;21.40;21.37
0.030021;2402.77;22.13;22.69
0.031021;2401.70;22.86;22.73
0.032021;2400.25;23.60;21.56
0.033021;2400.52;24.33;20.99
0.034021;2401.91;25.06;18.04
0.035021;2397.26;25.79;15.49
0.036021;2397.44;26.52;17.15
0.037021;2396.56;27.25;15.71
0.038021;2390.01;27.98;14.07
0.039021;2392.89;28.71;16.33
0.040021;2391.53;29.44;16.65
0.041021;2391.15;30.17;16.97
0.042021;2393.04;30.90;18.05
0.043021;2392.22;31.63;15.61
0.044021;2390.11;32.36;10.28
0.045021;2379.03;33.08;12.47
0.046021;2380.11;33.81;11.86
0.047021;2382.18;34.53;11.89
0.048021;2386.16;35.26;12.08
0.049021;2380.92;35.99;14.24
0.050021;2381.59;36.71;12.85
0.051021;2381.44;37.44;12.39
0.052021;2379.57;38.16;14.11
0.053021;2372.24;38.89;13.15
0.055021;2372.23;40.34;9.11
0.056021;2377.86;41.06;9.85
0.058021;2380.28;42.51;14.47
0.059021;2369.28;43.23;9.13
0.060021;2373.38;43.96;12.08
0.062021;2374.16;45.40;13.19
0.063021;2366.03;46.13;10.53
0.064021;2363.88;46.85;7.76
0.065021;2372.28;47.57;11.53
0.075021;2370.49;54.80;9.56
